序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,is_indoor,nearest_station,aqi_value,distance_m,distance_km
92,屏東縣滿州鄉,滿州村,文化路32號,120.839695,22.024499,滿州國民中學,滿州村 里德村,100,"水災,震災,土石流,海嘯",簡亞藍,08-8801106#14,是,是,是,True,恆春,40,9032.023380452494,9.032023380452495
93,臺東縣蘭嶼鄉,紅頭村,臺東縣蘭嶼鄉紅頭村漁人147號,121.539,22.026,蘭恩活動中心,紅頭村漁人部落,500,"水災,震災,土石流",希瑪拉歐斯執行長,（089）732073,是,否,否,True,恆春,40,77815.6366995136,77.8156366995136
94,臺東縣蘭嶼鄉,紅頭村,1號 之1,121.5266,22.0302,蘭嶼國民小學,蘭嶼國小附近住戶,100,"水災,震災,土石流,海嘯",許淑貞,（089）731576,是,否,是,True,恆春,40,76587.27165568895,76.58727165568895
95,屏東縣滿州鄉,,福德路64巷3號,120.8335,22.0377,響林活動中心,響林村,50,"水災,土石流,海嘯",王登興,08-8801348,是,否,是,True,恆春,40,9945.605468020212,9.945605468020212
96,臺東縣蘭嶼鄉,椰油村,1號,121.5176,22.0453,椰油國民小學,椰油國小附近住戶,100,"水災,震災,土石流",蔡美英,（089）732017,是,否,是,True,恆春,40,75853.80202006733,75.85380202006733
97,臺東縣蘭嶼鄉,椰油村,臺東縣蘭嶼鄉椰油村34號,121.5126,22.0494,蘭嶼完全高級中學,椰油村,500,"水災,震災,土石流",鍾蘭芬,（089）732016#203,是,否,否,True,恆春,40,75400.2352035443,75.4002352035443
98,屏東縣車城鄉,保力村,保力路30號,120.7275,22.0561,屏東縣立車城國小保力分校,保力村、統埔村,63,"水災,震災,海嘯",王菀珊,08-8821009,是,否,是,True,恆春,40,12571.159979601109,12.57115997960111
99,屏東縣車城鄉,埔墘村,埔墘路38號,120.7118,22.0567,屏東縣立車城國小射寮分校,後灣村、射寮村、埔墘村、新街村,63,"水災,震災",董倫賢,08-8821010,是,否,是,True,恆春,40,13515.532492501105,13.515532492501105
100,屏東縣車城鄉,福興村,新興路42號,120.7165,22.0729,屏東縣立車城國中,福興村、福安村、統埔村,350,"水災,震災,海嘯",陳忠能,08-8821045,是,否,是,True,恆春,40,14750.016450849795,14.750016450849795
101,屏東縣牡丹鄉,四林村,四林路80號,120.8139,22.0731,高士國小牡林分校,四林村,304,"水災,震災,土石流,海嘯,核子事故",曾村長蘭妹,08-8811160,是,是,是,True,恆春,40,12994.55101242033,12.994551012420331
103,屏東縣車城鄉,福興村,中山路66號,120.7146,22.0749,屏東縣立車城國小,福興村、福安村、田中村、海口村,250,"水災,震災,海嘯",徐志明,08-8821006,是,否,是,True,恆春,40,15040.417863989522,15.040417863989521
104,屏東縣滿州鄉,長樂村,大公路35號,120.8286,22.0755,長樂國小,分水嶺社區,120,"水災,土石流,海嘯",楊惠芳,08-8811045#14,是,是,否,True,恆春,40,13631.799780781294,13.631799780781293
105,屏東縣車城鄉,福安村,福安路5之1號,120.7119,22.0766,車城福安宮香客大樓,福興村、福安村、田中村、海口村,100,"水災,震災,海嘯",陳泰崇,08-8821345,是,否,是,True,恆春,40,15345.171169951058,15.345171169951058
106,臺東縣蘭嶼鄉,朗島村,臺東縣蘭嶼鄉朗島村17號,121.5286,22.0792,朗島國小,朗島村,100,"水災,震災,土石流",陳客宏,89732019,是,否,是,True,恆春,40,77531.92086424254,77.53192086424254
107,屏東縣車城鄉,溫泉村,文化路23號,120.7487,22.096,屏東縣立車城國小溫泉分校,溫泉村,63,"水災,震災,海嘯",邱麗文,08-8821005,是,否,是,True,恆春,40,15826.34195660135,15.82634195660135
108,屏東縣滿州鄉,九棚村,九棚路大愛巷6號,120.87378,22.111079,九棚永久屋大愛基地活動中心,九棚村,100,"水災,震災,土石流",羅美娟,08-8801105#703,是,是,否,True,恆春,40,19071.64321153404,19.071643211534038
109,屏東縣牡丹鄉,高士村,高士路29號,120.847,22.1248,高士國小,高士村,350,"水災,震災,土石流,海嘯",李村長德福,08-8810497,是,是,是,True,恆春,40,19409.323459924937,19.409323459924938
110,屏東縣牡丹鄉,石門村,石門路18號,120.774,22.1254,石門村活動中心,石門村,100,"水災,震災,土石流,海嘯",林村長一江,08-8831045,是,否,是,True,恆春,40,18590.93379852296,18.59093379852296
111,屏東縣滿州鄉,港仔村,港仔路67號,120.8815,22.1334,港仔活動中心,港仔村,50,"水災,土石流",鍾登讚,08-8810429,是,否,是,True,恆春,40,21636.868667983203,21.6368686679832
112,屏東縣獅子鄉,竹坑村,竹坑一巷1鄰8號,120.7012,22.1454,竹坑活動中心,竹坑村,40,"水災,震災,土石流",蔡錫金,08-8770106,是,否,是,True,屏東（枋山）,54,13777.988716378308,13.777988716378308
113,屏東縣牡丹鄉,牡丹村,牡丹路93號,120.8377,22.1766,牡丹國小,牡丹村,350,"水災,震災,土石流,海嘯",葉村長德生,08-8830057,是,是,是,True,屏東（枋山）,54,21347.582413951972,21.347582413951972
114,屏東縣枋山鄉,善餘村,光復24號,120.6922,22.1902,楓港國民小學,善餘村,90,"水災,震災,土石流,海嘯",黃志宏,08-8771158,是,否,是,True,屏東（枋山）,54,8882.95916136668,8.88295916136668
115,屏東縣牡丹鄉,旭海村,旭海路93-1號,120.8786,22.1917,旭海村活動中心,旭海村,250,"水災,震災,土石流",潘村長呈清,08-8830117,是,是,是,True,屏東（枋山）,54,24635.918364060442,24.63591836406044
116,屏東縣枋山鄉,楓港村,村舊庄1-2號,120.6895,22.193,楓港老人文康中心,楓港村,80,"水災,震災,土石流,海嘯",鄭美紋,08-8772073,是,否,是,True,屏東（枋山）,54,8478.748370058429,8.47874837005843
117,屏東縣獅子鄉,楓林村,楓林二巷22之2號,120.7038,22.2022,楓林國小,楓林村,50,"水災,震災,土石流",梁恆毅,08-8771371,是,否,是,True,屏東（枋山）,54,8446.273598070917,8.446273598070917
118,屏東縣獅子鄉,丹路村,丹路一巷39號,120.7515,22.2034,丹路國小,丹路村,50,"水災,震災,土石流",蔡金樹,08-8771144,是,是,是,True,屏東（枋山）,54,12118.383489151012,12.118383489151013
119,屏東縣獅子鄉,楓林村,舊庄280號,120.7014,22.2051,獅子鄉立綜合體育館,全鄉,100,"水災,震災,土石流",朱元龍,08-8771129#25,是,否,是,True,屏東（枋山）,54,8041.16565389305,8.04116565389305
120,屏東縣牡丹鄉,東源村,東源路6號,120.851,22.2052,東源村活動中心,東源村,250,"水災,震災,土石流,海嘯",賴村長光明,08-8830116,是,是,是,True,屏東（枋山）,54,21472.669977456786,21.472669977456786
121,屏東縣獅子鄉,內文村,3鄰26號,120.8507,22.2183,內文活動中心,內文村,40,"水災,震災,土石流",江新春,08-8700005,是,否,是,True,屏東（枋山）,54,21070.796248196326,21.070796248196327
122,屏東縣獅子鄉,獅子村,3鄰35號,120.6805,22.2323,獅子活動中心,獅子村,0,"水災,震災,土石流",林文旭,08-8761194,是,是,否,True,屏東（枋山）,54,4356.557194249574,4.356557194249574
123,屏東縣獅子鄉,草埔村,6鄰64號,120.8014,22.2341,草埔活動中心,草埔村,40,"水災,土石流",朱山櫻,08-8701163,是,否,是,True,屏東（枋山）,54,15735.789717109317,15.735789717109316
125,屏東縣枋山鄉,枋山村,國中路1號,120.6606,22.2643,枋寮高中正成分校,枋山村,150,"水災,土石流,海嘯",徐敏雄,08-8761140,是,否,是,True,屏東（枋山）,54,1013.3225746609069,1.013322574660907
127,臺東縣達仁鄉,森永村,臺東縣達仁鄉森永村3鄰31號,120.864826,22.280641,森永活動中心,森永村,100,,歐慧玲,089-702136,否,否,否,True,屏東（枋山）,54,22095.693650286506,22.095693650286506
128,臺東縣達仁鄉,南田村,臺東縣達仁鄉南田村10之2號,120.888972,22.286514,南田活動中心,南田村,100,,村長 楊陳田龍,089-702285,否,否,否,True,屏東（枋山）,54,24638.935221856053,24.638935221856052
130,臺東縣達仁鄉,安朔村,6鄰安朔路114號,120.867753,22.293497,安朔集會所,安朔村,50,,村長 汪淑惠,089-702071,否,否,否,True,屏東（枋山）,54,22578.291107690005,22.578291107690006
131,臺東縣達仁鄉,安朔村,臺東縣達仁鄉安朔村8鄰113號,120.868276,22.294292,安朔國小,安朔村,200,,校長顏正一,089-702275,是,否,是,True,屏東（枋山）,54,22645.638022345218,22.645638022345217
132,臺東縣達仁鄉,安朔村,9鄰復興路14號,120.883062,22.297005,達仁鄉公所禮堂,安朔村、南田村、森永村,100,,黃恩潔,089-702249,否,否,否,True,屏東（枋山）,54,24197.75217684174,24.19775217684174
133,臺東縣卑南鄉,東興村,東興村東園一街40號,121.016385,22.301654,大南國民小學,東興村,50,,李玉如,089-382402,否,否,否,True,屏東（枋山）,54,37873.15168281022,37.87315168281022
134,屏東縣獅子鄉,內獅村,內獅村1號,120.6427,22.3052,內獅國小,內獅村、南世村,0,"水災,震災,土石流",周宗憲,08-8720034,是,否,是,True,屏東（枋山）,54,4987.814102072776,4.987814102072776
135,臺東縣大武鄉,南興村,達興路173號,120.8867,22.3104,南興村社區活動中心,南興社區,200,"水災,土石流,海嘯",鍾皓如,089-702165,是,否,否,True,屏東（枋山）,54,24850.91340381911,24.85091340381911
136,屏東縣琉球鄉,南福村,忠孝路1-10號,120.3634,22.3284,南福社區活動中心,南福村,50,"水災,震災,土石流,海嘯",黃文裕,8611579,是,否,是,True,屏東（琉球）,64,2997.2342307352137,2.997234230735214
137,屏東縣枋山鄉,加祿村,會社28號,120.6211,22.3302,加祿國民小學,加祿村,60,"水災,震災,土石流,海嘯",翁和正,08-8720060,是,否,是,True,屏東（枋山）,54,8286.985385863743,8.286985385863744
138,屏東縣琉球鄉,大福村,和平路3巷14-1號,120.3708,22.3338,大福社區活動中心,大福村,100,"水災,震災,土石流,海嘯",洪蔡麗霞,8613920,是,否,是,True,屏東（琉球）,64,2144.166001993424,2.144166001993424
139,屏東縣琉球鄉,大福村,中正路158號,120.3685,22.336,琉球國中,本福村、大福村,200,"水災,震災,土石流,海嘯",蔡妙美,8612509,是,否,是,True,屏東（琉球）,64,2008.1148981548877,2.0081148981548878
140,屏東縣琉球鄉,大福村,中正路293號,120.3683,22.3371,琉球國小,大福村、南福村,200,"水災,震災,土石流,海嘯",張簡振豐,8612597,是,否,是,True,屏東（琉球）,64,1909.7814743641572,1.9097814743641572
141,臺東縣大武鄉,尚武村,政通3街1號,120.8818,22.342,尚武村社區活動中心,大鳥社區7~9鄰,100,"水災,震災,土石流,海嘯",葉雅綸,089-791917,是,否,是,True,屏東（枋山）,54,25373.522260541067,25.373522260541066
142,臺東縣大武鄉,尚武村,政通5街6-1號,120.8806,22.3425,大武鄉立托兒所,加羅板部落、古庄部落,100,"水災,震災,土石流,海嘯",張輝煌,089-791721,是,否,否,True,屏東（枋山）,54,25277.619670537657,25.277619670537657
143,屏東縣琉球鄉,杉福村,復興路97號,120.3692,22.3462,全德國小,商福村、杉福村,200,"水災,震災,土石流,海嘯",黃建榮,8612534,是,否,是,True,屏東（琉球）,64,1061.486091315245,1.0614860913152449
145,屏東縣枋寮鄉,保生村,海邊路6號,120.5997,22.3562,老人文康活動中心,隆山村、安樂村、中寮村、保生村,150,水災,潘志信,08-8782012,是,否,是,True,屏東（枋山）,54,11823.768729749032,11.823768729749032
146,臺東縣大武鄉,大武村,大武街110號,120.9038,22.3564,大武老人會館,大鳥社區11~14鄰,150,"水災,震災,土石流,海嘯",董炎輝,089-791450,是,否,是,True,屏東（枋山）,54,28065.036063537027,28.065036063537026
147,臺東縣大武鄉,大武村,大武街21巷1號,120.9064,22.3581,大武鄉多功能綜合活動中心暨避難收容所,大武鄉,300,"水災,震災,土石流,海嘯",高佳珍,089-792275,是,否,是,True,屏東（枋山）,54,28384.034328968366,28.384034328968365
148,屏東縣春日鄉,古華村,古華路6鄰2巷46號,120.6281,22.3596,古華社區活動中心,古華村,100,"水災,土石流,海嘯",理事長陸清木,08-8783276,是,否,是,True,屏東（枋山）,54,11190.830357834073,11.190830357834074
149,臺東縣大武鄉,大武村,大武街56號,120.8975,22.3596,大武村社區活動中心,大鳥社區10鄰,100,"水災,土石流,海嘯",陳立忠,089-791826,是,否,是,True,屏東（枋山）,54,27602.97781641535,27.60297781641535
